designer,mean_lightness,mean_saturation,color_diversity,n_images
Chanel,141.89567064000738,10.491330757436618,24.96870738261134,364
Valentino,120.47311973084621,13.494115539845092,24.80049694633612,330
Christian Dior,125.93204098245124,13.295559657498682,25.634941498472465,299
Dolce & Gabbana,117.54916978842192,13.189510132254794,26.142491202234456,249
Versace,118.85784053452439,15.650372767949156,27.179519131760262,242
Givenchy,113.5954673239007,11.854498743468042,25.41814354472196,222
Giorgio Armani,114.27230622053807,10.350878541978137,24.639236721276607,217
Dries Van Noten,120.0704562858461,12.708604855405843,26.129464605060537,204
Gucci,123.15754233947922,14.43489343199298,26.004362856692474,199
Burberry,127.59532414627168,10.840524168948045,24.63689357332233,198
Jean Paul Gaultier,112.80450383894289,15.113785685480407,25.92276676355051,198
Prada,113.8814309119733,14.076404538859808,26.842318648277068,197
Louis Vuitton,124.58856965646525,11.929666570781091,25.698541666523617,194
Fendi,124.86802767270383,12.038142177561552,25.180139034755744,187
Michael Kors Collection,125.8845842632104,11.250646735215637,25.031814527894497,186
Lanvin,114.9351689496951,11.351567269950564,24.918489316080077,182
Giambattista Valli,142.13029970892518,11.662059611008415,25.081513831540953,173
Balmain,122.04795306640685,11.774468035727693,25.01585381475724,171
Marni,139.03332383317385,12.244826228533139,26.349910283049773,159
Balenciaga,121.3722470110463,15.515918969922044,26.093395086485387,157
Saint Laurent,108.99354440346606,10.040613398374623,24.818209496887786,152
Alexander McQueen,125.00429364061718,11.132073021887653,25.231783896670574,147
Hermès,119.39995519514562,13.913674683961773,25.15377224884396,146
Bottega Veneta,124.40826381308248,11.650436442930824,25.052750489097903,146
Roberto Cavalli,116.78025262535856,12.482800008368853,25.766757321976623,135
Calvin Klein Collection,140.18653135850258,9.26558059230238,24.88662987599086,134
Ralph Lauren,139.57787033961125,12.511655789670867,25.762824158202864,133
Chloé,146.2841285713704,12.069962466650647,25.376024277462054,130
Stella McCartney,129.1454769064238,13.756144813516235,25.639906327530944,121
Miu Miu,125.59581695540932,13.539502826720835,25.692360304542067,119
Rick Owens,127.49856134092764,7.570555020402907,24.023469280323603,115
Emporio Armani,111.81065646093664,8.935304915931788,25.118904757829785,111
Marc Jacobs,125.37807740780954,15.584117270555213,25.88877914936371,107
Ferragamo,121.459684446681,15.238672724852915,26.220149372709212,105
Missoni,137.03890044706742,12.698867046307642,25.42066829483909,102
Oscar de la Renta,131.5990325292712,11.517174571463032,25.011031423917288,102
Dsquared2,112.59499394201084,12.372269747831947,26.388293290487056,101
Maison Margiela,115.98907844582547,11.802027645820568,26.50312702425276,99
Jil Sander,141.7861607437307,10.539690037718408,25.543743881330215,99
