year,palette_id,palette_name,count,percentage
1988,009,Navy Blue,1,100.0
1989,001,Plum Mouse Gray,3,42.857142857142854
1989,005,Indigo Mouse Gray,1,14.285714285714286
1989,008,Seaweed Brown,1,14.285714285714286
1989,009,Navy Blue,1,14.285714285714286
1989,027,Ink Black,1,14.285714285714286
1990,027,Ink Black,1,100.0
1991,001,Plum Mouse Gray,2,10.526315789473685
1991,002,Shrimp Brown,1,5.2631578947368425
1991,005,Indigo Mouse Gray,3,15.789473684210526
1991,007,Nightingale Brown,2,10.526315789473685
1991,009,Navy Blue,6,31.57894736842105
1991,027,Ink Black,5,26.31578947368421
1992,001,Plum Mouse Gray,11,15.277777777777779
1992,002,Shrimp Brown,3,4.166666666666667
1992,003,Fukagawa Mouse Gray,5,6.944444444444445
1992,004,Cherry Mouse Gray,5,6.944444444444445
1992,005,Indigo Mouse Gray,16,22.22222222222222
1992,006,Willow Mouse Gray,4,5.555555555555555
1992,008,Seaweed Brown,1,1.3888888888888888
1992,009,Navy Blue,12,16.666666666666668
1992,010,Crimson,1,1.3888888888888888
1992,011,Nightingale Green,2,2.7777777777777777
1992,026,Mouse Gray,4,5.555555555555555
1992,027,Ink Black,6,8.333333333333334
1992,031,Burnt Sienna,2,2.7777777777777777
1993,003,Fukagawa Mouse Gray,1,14.285714285714286
1993,005,Indigo Mouse Gray,2,28.571428571428573
1993,009,Navy Blue,2,28.571428571428573
1993,027,Ink Black,1,14.285714285714286
1993,031,Burnt Sienna,1,14.285714285714286
1994,001,Plum Mouse Gray,13,27.659574468085108
1994,002,Shrimp Brown,2,4.25531914893617
1994,003,Fukagawa Mouse Gray,1,2.127659574468085
1994,004,Cherry Mouse Gray,2,4.25531914893617
1994,005,Indigo Mouse Gray,3,6.382978723404255
1994,008,Seaweed Brown,3,6.382978723404255
1994,009,Navy Blue,4,8.51063829787234
1994,011,Nightingale Green,2,4.25531914893617
1994,026,Mouse Gray,2,4.25531914893617
1994,027,Ink Black,11,23.404255319148938
1994,031,Burnt Sienna,2,4.25531914893617
1994,033,Forest Green,1,2.127659574468085
1994,040,Gold,1,2.127659574468085
1995,001,Plum Mouse Gray,13,16.883116883116884
1995,002,Shrimp Brown,3,3.896103896103896
1995,003,Fukagawa Mouse Gray,6,7.792207792207792
1995,004,Cherry Mouse Gray,1,1.2987012987012987
1995,005,Indigo Mouse Gray,11,14.285714285714286
1995,006,Willow Mouse Gray,1,1.2987012987012987
1995,008,Seaweed Brown,2,2.5974025974025974
1995,009,Navy Blue,12,15.584415584415584
1995,010,Crimson,3,3.896103896103896
1995,014,Azuki Bean Red,1,1.2987012987012987
1995,025,Purple,1,1.2987012987012987
1995,026,Mouse Gray,2,2.5974025974025974
1995,027,Ink Black,18,23.376623376623378
1995,031,Burnt Sienna,3,3.896103896103896
1996,001,Plum Mouse Gray,20,32.78688524590164
