year,mean_lightness,mean_saturation,color_diversity,palette_distance,n_images
1988,113.83336689583223,19.911546933947566,30.828655625550073,20.151893870782665,1
1989,128.37698310450926,17.801308610220115,27.422569702105296,14.979645955647959,6
1990,97.29006134782817,6.503446771484221,24.747273848407847,14.189573584325132,1
1991,119.76985181711821,17.303802904951795,27.60474589346371,15.475594364865096,11
1992,141.63008473940548,16.191006350656487,27.703529863485976,14.07940859470022,56
1993,116.34994738470395,16.775165568406138,30.39753068261071,17.101303490623042,6
1994,136.163650145519,20.364123516057955,29.347064451121053,15.546997686156258,30
1995,126.91912384720897,18.11999123524057,27.60209992654625,14.66909850965657,40
1996,136.7160869766709,18.587920150923892,28.930131168706826,16.00528799062335,42
1997,126.98654075134016,13.82165794990833,28.255243804339557,15.023382592446591,56
1998,127.49037670549502,11.71847592387253,26.512232470520257,14.532271621380133,46
1999,131.35120069042787,11.678892625974576,27.347098778611613,15.084910664937828,48
2000,130.39660763728259,12.844041784087574,24.56265806225014,13.356671492405754,204
2001,115.47099323106991,16.244071633059434,25.13387114502537,13.97443788730071,207
2002,120.79156713007421,15.86348060569325,25.225259060426254,14.000469858331204,311
2003,125.49333257883211,13.060781076220966,25.852601029414625,13.563599835377302,272
2004,129.5047623478612,11.248799258328782,25.425210157039352,13.071024142217395,267
2005,132.9033003007458,12.62119141268478,25.522983984872383,13.264817611081888,394
2006,134.15005922463524,10.822701668491032,25.49109518217857,12.980147707288635,421
2007,133.8307923583682,10.097107780094497,25.27537288755436,12.624535301557843,452
2008,138.6951626606562,10.839882458598792,25.208130893669235,12.482727552319817,527
2009,139.8119139571418,11.209155057715012,25.25875655158886,12.380437095405547,656
2010,140.54380157517284,10.399656113714128,25.21543757991224,12.455266415702424,843
2011,135.01340277773303,11.746294575628765,25.284510001554356,12.411697284303065,900
2012,137.27262681843064,11.819533504056992,25.899122322268045,12.47861654525421,1089
2013,132.19624949086057,10.73556663498241,25.549403134735094,12.44804566998942,1131
2014,135.55532213586443,10.26472573359718,25.601925469068185,12.37065961617857,1184
2015,129.21713340764381,10.665716883245585,25.336190259457503,12.49026582608439,1375
2016,134.0356382292359,10.699943950175767,25.596419484025724,12.59598561611762,2235
2017,132.96325600415378,10.814797264185682,25.49897031008536,12.657134565444006,1448
2018,125.84156301826408,12.103730751214906,26.029907687669713,13.141856664064239,571
2019,132.57805247701648,12.18957954212702,26.016863572822285,12.85025730658326,1373
2020,131.914470089639,12.198695307984337,25.560852553247976,12.941396265219021,1328
2021,137.33314638807084,12.261802601734509,25.250404145886062,12.25834553835951,733
2022,131.8236259830454,12.751290403803102,25.47542730324861,12.572943655349144,908
2023,130.14547570573663,11.510388335400133,24.827837385190975,12.282268618959922,828
