year,palette_id,palette_name,count,percentage
1989,021,Dayflower Blue,1,33.333333333333336
1989,027,Ink Black,2,66.66666666666667
1991,027,Ink Black,2,100.0
1992,005,Indigo Mouse Gray,1,4.0
1992,006,Willow Mouse Gray,1,4.0
1992,007,Nightingale Brown,1,4.0
1992,008,Seaweed Brown,3,12.0
1992,009,Navy Blue,3,12.0
1992,014,Azuki Bean Red,2,8.0
1992,025,Purple,2,8.0
1992,026,Mouse Gray,3,12.0
1992,027,Ink Black,9,36.0
1993,008,Seaweed Brown,1,33.333333333333336
1993,027,Ink Black,2,66.66666666666667
1994,001,Plum Mouse Gray,1,6.666666666666667
1994,002,Shrimp Brown,2,13.333333333333334
1994,007,Nightingale Brown,2,13.333333333333334
1994,008,Seaweed Brown,1,6.666666666666667
1994,009,Navy Blue,1,6.666666666666667
1994,026,Mouse Gray,1,6.666666666666667
1994,027,Ink Black,7,46.666666666666664
1995,002,Shrimp Brown,1,4.545454545454546
1995,005,Indigo Mouse Gray,3,13.636363636363637
1995,008,Seaweed Brown,1,4.545454545454546
1995,009,Navy Blue,2,9.090909090909092
1995,014,Azuki Bean Red,3,13.636363636363637
1995,021,Dayflower Blue,2,9.090909090909092
1995,025,Purple,2,9.090909090909092
1995,027,Ink Black,8,36.36363636363637
1996,002,Shrimp Brown,2,8.695652173913043
1996,005,Indigo Mouse Gray,1,4.3478260869565215
1996,007,Nightingale Brown,3,13.043478260869565
1996,008,Seaweed Brown,1,4.3478260869565215
1996,013,Celadon,1,4.3478260869565215
1996,014,Azuki Bean Red,2,8.695652173913043
1996,025,Purple,2,8.695652173913043
1996,026,Mouse Gray,1,4.3478260869565215
1996,027,Ink Black,10,43.47826086956522
1997,002,Shrimp Brown,1,3.4482758620689653
1997,007,Nightingale Brown,3,10.344827586206897
1997,008,Seaweed Brown,4,13.793103448275861
1997,009,Navy Blue,1,3.4482758620689653
1997,021,Dayflower Blue,1,3.4482758620689653
1997,026,Mouse Gray,2,6.896551724137931
1997,027,Ink Black,17,58.62068965517241
1998,001,Plum Mouse Gray,1,4.761904761904762
1998,005,Indigo Mouse Gray,1,4.761904761904762
1998,007,Nightingale Brown,1,4.761904761904762
1998,008,Seaweed Brown,2,9.523809523809524
1998,014,Azuki Bean Red,2,9.523809523809524
1998,026,Mouse Gray,2,9.523809523809524
1998,027,Ink Black,12,57.142857142857146
1999,007,Nightingale Brown,1,4.3478260869565215
1999,008,Seaweed Brown,1,4.3478260869565215
1999,009,Navy Blue,1,4.3478260869565215
1999,011,Nightingale Green,1,4.3478260869565215
1999,014,Azuki Bean Red,2,8.695652173913043
1999,026,Mouse Gray,2,8.695652173913043
1999,027,Ink Black,15,65.21739130434783
2000,001,Plum Mouse Gray,9,9.183673469387756
2000,002,Shrimp Brown,2,2.0408163265306123
2000,007,Nightingale Brown,13,13.26530612244898
2000,008,Seaweed Brown,1,1.0204081632653061
2000,014,Azuki Bean Red,30,30.612244897959183
2000,025,Purple,3,3.061224489795918
2000,026,Mouse Gray,3,3.061224489795918
2000,027,Ink Black,37,37.755102040816325
2001,001,Plum Mouse Gray,5,5.1020408163265305
2001,002,Shrimp Brown,6,6.122448979591836
2001,007,Nightingale Brown,7,7.142857142857143
2001,010,Crimson,1,1.0204081632653061
2001,014,Azuki Bean Red,39,39.795918367346935
2001,020,Peach,1,1.0204081632653061
2001,025,Purple,3,3.061224489795918
2001,026,Mouse Gray,1,1.0204081632653061
2001,027,Ink Black,35,35.714285714285715
2002,001,Plum Mouse Gray,11,6.875
2002,002,Shrimp Brown,10,6.25
2002,004,Cherry Mouse Gray,1,0.625
2002,005,Indigo Mouse Gray,2,1.25
2002,007,Nightingale Brown,12,7.5
2002,008,Seaweed Brown,2,1.25
2002,010,Crimson,2,1.25
2002,014,Azuki Bean Red,49,30.625
2002,021,Dayflower Blue,1,0.625
2002,025,Purple,1,0.625
2002,026,Mouse Gray,7,4.375
2002,027,Ink Black,62,38.75
2003,001,Plum Mouse Gray,5,3.9682539682539684
2003,002,Shrimp Brown,5,3.9682539682539684
2003,004,Cherry Mouse Gray,1,0.7936507936507936
2003,005,Indigo Mouse Gray,2,1.5873015873015872
2003,007,Nightingale Brown,30,23.80952380952381
2003,008,Seaweed Brown,4,3.1746031746031744
2003,014,Azuki Bean Red,10,7.936507936507937
2003,025,Purple,4,3.1746031746031744
2003,026,Mouse Gray,9,7.142857142857143
2003,027,Ink Black,56,44.44444444444444
2004,001,Plum Mouse Gray,4,2.962962962962963
2004,002,Shrimp Brown,7,5.185185185185185
2004,005,Indigo Mouse Gray,2,1.4814814814814814
2004,007,Nightingale Brown,20,14.814814814814815
2004,008,Seaweed Brown,3,2.2222222222222223
2004,014,Azuki Bean Red,10,7.407407407407407
2004,025,Purple,3,2.2222222222222223
2004,026,Mouse Gray,19,14.074074074074074
2004,027,Ink Black,67,49.629629629629626
2005,001,Plum Mouse Gray,13,6.280193236714976
2005,002,Shrimp Brown,9,4.3478260869565215
2005,005,Indigo Mouse Gray,5,2.4154589371980677
2005,007,Nightingale Brown,25,12.077294685990339
2005,008,Seaweed Brown,2,0.966183574879227
2005,009,Navy Blue,4,1.932367149758454
2005,010,Crimson,1,0.4830917874396135
2005,011,Nightingale Green,1,0.4830917874396135
2005,014,Azuki Bean Red,33,15.942028985507246
2005,016,Mustard,1,0.4830917874396135
2005,021,Dayflower Blue,2,0.966183574879227
2005,025,Purple,1,0.4830917874396135
2005,026,Mouse Gray,19,9.178743961352657
2005,027,Ink Black,91,43.96135265700483
2006,001,Plum Mouse Gray,12,5.504587155963303
2006,002,Shrimp Brown,8,3.669724770642202
2006,005,Indigo Mouse Gray,5,2.293577981651376
2006,006,Willow Mouse Gray,1,0.45871559633027525
2006,007,Nightingale Brown,33,15.137614678899082
2006,008,Seaweed Brown,7,3.2110091743119265
2006,009,Navy Blue,1,0.45871559633027525
2006,011,Nightingale Green,1,0.45871559633027525
2006,013,Celadon,1,0.45871559633027525
2006,014,Azuki Bean Red,14,6.422018348623853
2006,016,Mustard,1,0.45871559633027525
2006,017,Peony Pink,1,0.45871559633027525
2006,026,Mouse Gray,35,16.05504587155963
2006,027,Ink Black,98,44.95412844036697
2007,001,Plum Mouse Gray,12,5.2631578947368425
2007,002,Shrimp Brown,3,1.3157894736842106
2007,003,Fukagawa Mouse Gray,1,0.43859649122807015
2007,005,Indigo Mouse Gray,5,2.192982456140351
2007,007,Nightingale Brown,40,17.54385964912281
2007,008,Seaweed Brown,6,2.6315789473684212
2007,009,Navy Blue,1,0.43859649122807015
2007,010,Crimson,1,0.43859649122807015
2007,011,Nightingale Green,1,0.43859649122807015
2007,014,Azuki Bean Red,2,0.8771929824561403
2007,021,Dayflower Blue,1,0.43859649122807015
2007,025,Purple,1,0.43859649122807015
2007,026,Mouse Gray,43,18.859649122807017
2007,027,Ink Black,111,48.68421052631579
2008,001,Plum Mouse Gray,2,0.7874015748031497
2008,002,Shrimp Brown,3,1.1811023622047243
2008,004,Cherry Mouse Gray,2,0.7874015748031497
2008,005,Indigo Mouse Gray,5,1.968503937007874
2008,006,Willow Mouse Gray,1,0.3937007874015748
2008,007,Nightingale Brown,36,14.173228346456693
2008,008,Seaweed Brown,10,3.937007874015748
2008,014,Azuki Bean Red,16,6.299212598425197
2008,016,Mustard,1,0.3937007874015748
2008,021,Dayflower Blue,2,0.7874015748031497
2008,025,Purple,1,0.3937007874015748
2008,026,Mouse Gray,53,20.866141732283463
2008,027,Ink Black,122,48.031496062992126
2009,001,Plum Mouse Gray,20,6.514657980456026
2009,002,Shrimp Brown,13,4.234527687296417
2009,003,Fukagawa Mouse Gray,1,0.3257328990228013
2009,004,Cherry Mouse Gray,1,0.3257328990228013
2009,005,Indigo Mouse Gray,10,3.257328990228013
2009,007,Nightingale Brown,41,13.355048859934854
2009,008,Seaweed Brown,4,1.3029315960912051
2009,009,Navy Blue,2,0.6514657980456026
2009,010,Crimson,1,0.3257328990228013
2009,011,Nightingale Green,1,0.3257328990228013
2009,014,Azuki Bean Red,25,8.143322475570033
2009,016,Mustard,1,0.3257328990228013
2009,017,Peony Pink,1,0.3257328990228013
2009,026,Mouse Gray,56,18.241042345276874
2009,027,Ink Black,130,42.34527687296417
2010,001,Plum Mouse Gray,33,7.819905213270142
2010,002,Shrimp Brown,16,3.7914691943127963
2010,004,Cherry Mouse Gray,6,1.4218009478672986
2010,005,Indigo Mouse Gray,6,1.4218009478672986
2010,007,Nightingale Brown,47,11.137440758293838
2010,008,Seaweed Brown,5,1.1848341232227488
2010,011,Nightingale Green,1,0.23696682464454977
2010,014,Azuki Bean Red,31,7.345971563981043
2010,016,Mustard,1,0.23696682464454977
